TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
2399,3320,269,308,13,16,1141,314,12,9,126,55
3495,4541,342,444,17,22,297,55,8,3,46,10
2426,3117,239,334,15,21,723,96,10,4,81,12
2136,7047,211,684,15,23,1043,52,10,2,112,9
2122,3041,276,341,14,17,802,397,11,8,79,55
4207,7548,411,686,16,24,875,36,9,1,101,4
101,351,15,57,7,14,441,198,18,11,75,34
278,990,44,144,9,21,566,91,16,4,88,11
647,1268,106,191,11,22,531,63,14,3,85,15
528,1037,79,157,12,18,369,318,13,7,57,59
365,1465,48,200,10,20,591,246,15,5,94,46
999,1902,154,253,15,18,447,189,10,7,83,46
1127,4862,160,634,16,24,764,140,9,1,114,35
900,3335,120,422,9,23,861,63,16,2,119,9
660,2073,86,279,10,21,505,78,15,4,75,11
1191,2360,153,304,12,22,912,95,13,3,140,16
699,2606,67,238,9,18,463,170,16,7,57,35
647,2213,66,248,7,19,1219,206,18,6,192,32
2345,3781,224,374,13,20,723,101,12,5,113,14
1557,5015,185,530,9,24,1377,20,16,1,172,5
1266,3739,185,383,15,20,579,179,10,5,86,23
3371,4399,293,385,15,18,721,522,10,7,100,84
624,3571,69,321,6,17,1922,219,19,8,225,33
1844,4325,269,509,13,24,791,0,12,1,120,0
1983,3682,186,325,12,21,988,204,13,4,127,32
318,2040,39,224,6,20,869,101,19,5,129,15
4135,5979,627,803,19,23,283,12,6,2,43,3
2800,4452,475,670,21,24,172,4,4,1,33,1
2719,5396,339,699,16,23,504,16,9,2,71,4
3428,6432,418,720,17,20,261,162,8,5,47,29
1903,4330,307,671,15,23,415,12,10,2,69,3
5424,6819,747,875,18,20,260,137,7,5,33,20
3412,4408,452,609,18,23,248,75,7,2,40,9
3636,6968,480,1029,18,25,212,0,7,0,31,0
3574,5393,564,789,16,23,306,36,9,2,46,9
2766,4267,475,588,19,23,348,68,6,2,47,17
4009,8971,648,1018,14,23,1097,20,11,2,113,5
6557,8977,611,824,15,23,1290,23,10,2,137,3
4884,7603,567,844,18,23,484,112,7,2,53,24
7384,9021,727,826,17,17,667,717,8,8,73,76
6885,10165,759,921,19,24,317,8,6,1,35,1
6385,9641,746,1138,21,23,536,17,4,2,54,2
5868,10097,657,970,16,24,819,16,9,1,87,4
4835,6871,649,785,19,22,193,65,6,3,21,10
5645,9212,640,965,17,23,710,55,8,2,78,11
5245,8059,577,774,16,20,816,242,9,5,97,44
929,1446,131,180,14,17,373,208,11,8,79,42
1701,3663,290,515,18,23,521,75,7,2,60,15
1195,2591,162,351,15,23,640,126,10,2,102,19
921,1563,150,212,15,16,502,255,10,9,61,56
2683,4192,364,531,16,21,523,89,9,4,70,21
2824,5738,409,840,16,24,634,5,9,1,110,1
2798,4269,457,560,18,23,230,4,7,2,32,1
2710,4987,378,685,14,24,675,42,11,1,114,7
