Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
213,65.65,69.24,63.09,26.59,26.67,18.86,41.35,34.16,19.37,20.16,14.7,7.37,6.36,0.58,11.38,17.86
214,52.51,82.69,54.88,44.95,33.52,28.38,80.58,41.49,18.6,28.18,18.37,17.65,10.67,1.38,25.5,29.79
215,58.19,69.55,61.03,49.3,24.13,5.41,48.37,39.66,22.42,24.62,45.95,17.09,11.27,0.42,34.44,27.72
216,79.46,101.48,69.48,96.15,47.19,13.71,92.95,76.56,34.93,34.46,18.9,25.89,16.25,1.85,38.14,40.99
217,87.26,112.23,73.25,66.95,35.03,9.39,93.1,87.1,46.78,31.06,29.53,35.37,13.44,0.79,51.17,37.83
218,66.54,106.81,58.42,75.84,41.5,5.04,93.96,79.64,28.86,36.89,58.05,26.66,23.27,0.24,40.16,43.99
219,76.11,99.44,53.23,36.51,13.98,7,74.04,48.37,35.85,31.94,29.14,18.71,4.08,0.17,40.42,34.01
220,75.07,102.19,49.48,59.48,27.63,9.52,91.72,57.46,29.87,29.49,16.69,34.55,13.98,0.89,30.09,42.4
221,144.11,109.06,89.79,67.02,47.42,19.29,86.3,102.4,60.12,51.83,97.22,37.6,24.53,2.58,59.33,63.33
222,103.88,129.58,89.2,89.82,57.96,31.77,120.31,86.56,43.01,57.92,87.4,39.09,25.43,4.99,51.14,45.38
223,92.27,92.34,113.81,93.26,52.57,16.26,106.17,112.86,53.22,42.05,90.72,31.45,16.75,2.32,60.29,44.63
224,113.44,97.75,90.37,84.61,57.45,30.32,103.42,88.13,54.11,45.56,90.92,51.65,27.31,6.57,55.52,58.74
225,64.32,59.9,59.09,42.69,21.75,11.26,59.65,55.59,22.22,17.56,33.75,17.52,2.64,0.11,23.16,31.77
226,112.25,105.92,97.53,86.84,65.26,23.89,87.98,78.71,46.44,56.29,86.8,40.97,26.29,5.09,48.03,61.86
227,98.82,94.31,110.31,83.3,73.43,31.62,135.67,103.41,45.74,62.55,86.14,48.9,38.6,7.37,73.05,64.88
228,124.78,133.55,150.2,103.83,102.1,24.47,149.46,143.02,58.92,82.04,126.66,55.39,36.39,3.99,79.07,90.26
229,118.51,192.82,109.77,142.6,57.72,16.02,199.59,127.64,52.75,93.01,111.12,80.71,26.08,1.29,66.36,89.25
230,87.88,92.4,60.26,64.2,29.83,15.4,59.28,69.32,46.68,32.07,51.24,25.19,9.64,1.01,41.5,40.03
231,126.24,149.99,74.33,91.33,48.59,13.19,134.26,90.9,54.23,52.84,45.82,32.45,13.39,1.16,72.16,59.5
232,34.42,73.88,43.38,57.77,23.89,5.29,61.5,45.39,32.9,29.9,21.01,20.97,11.93,0.38,29.89,21.79
233,74.36,102.72,66.56,68.21,24.14,16.83,89.21,87.34,37.33,28.43,34.21,34.02,11.34,1.25,25.97,40.4
234,91.72,102.03,69.95,51.22,39.96,34.33,73.04,80.22,17.83,32.37,24.14,14.96,15.66,2.19,34.36,38.89
235,152.05,152.85,90.53,73.77,42.54,19.51,103.79,69.64,62.7,46.21,44.8,35.57,16.68,1.82,60.17,62.35
236,67.4,73.1,63.37,49.55,34.5,15.49,68.7,58.98,20.05,29.65,10.86,11.85,13.34,1.61,24.37,31.89
237,81.04,74.58,60.74,66.99,36.02,6.27,66.27,75.88,34.22,18.99,29.03,27.62,19.05,0.49,29.2,34.63
238,69.52,84.27,69.79,77.85,31.79,17.71,89.68,60.23,26.35,29.64,58.36,32.57,13.39,2,35.63,37.03
239,81.66,91.82,97.9,52.93,57.6,11.82,96.79,79.74,39.34,54.01,89.46,25.52,26.9,1.43,49.35,51.7
240,83.73,89.68,55.61,67.57,36.76,15.4,73.8,50.99,22.4,21.63,14.08,18.28,15.26,2.21,26.57,27.61
241,153.73,135.94,69.57,97.64,33.13,21.92,98.25,75.04,39.56,32.77,77.02,23.37,6.7,0.29,55.57,60.93
242,281.01,254.32,131.38,122.89,70.01,49.9,125.87,129.13,124.47,50.28,153.39,33.31,24.18,2.08,134.78,110.96
243,149.13,109.2,49.56,107.17,53.92,38.04,100.21,105.58,56.47,39.31,104.07,58.43,34.36,7.92,70.61,75.48
244,117.38,155.92,66.78,105.4,50.72,41.25,89.04,66.17,63.17,38.96,102.27,8.78,7.6,0.37,69.92,59.36
245,109.43,116.69,44.24,81.41,55.73,52.17,76.8,99.9,64.4,13.31,84.79,15.18,5.17,0.23,56.42,42.24
246,123.35,108.8,54,66.89,38.69,25.75,88.07,89.12,32.46,21.65,59.77,34.52,14.12,1.62,20.39,24.89
247,127.37,149.8,99.05,65.97,73.71,34.95,78.33,68.07,67.2,50.89,122.13,16.52,28.4,1.82,72.06,93.48
248,123.51,192.48,80.48,106.26,56.27,40.85,107.92,122.75,61.99,34.32,115.28,34.55,15.23,1.2,76.08,70.7
249,109.02,92.46,46.4,40,44.25,34.59,72.09,59.99,30.57,19.03,74.03,7.19,5.48,0.28,38.63,50.03
250,87.72,130.37,35.15,53.81,51.07,31.14,78.66,54.95,20.23,14.97,71.34,26.58,17.98,1.72,39.33,49.66
251,78.25,88.1,71.06,55.59,47.55,35.02,98.29,56.15,24.05,25.43,64.62,11.07,11.33,1.25,37.46,44.59
252,89.31,76.22,49.47,56.03,33.36,23.66,64.66,55.78,34.01,11.24,69,15.55,2.74,0.08,44.26,40.84
253,90.34,115.89,69.66,63.52,60.78,48.06,70.52,72.34,47.1,33.97,69.95,28.05,20.07,3.48,60.55,69.95
