Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
360,52.76,77.96,61.87,45.28,45.68,7.68,50.32,50.96,31.99,42.5,57.53,25.56,18.69,0.76,37.4,40.02
361,70.44,80.42,66.47,70.95,46.73,24.68,84.16,73.11,63.02,52.06,66.99,50.15,35.93,7.24,57.44,51.51
362,70.78,88.56,69.38,56.27,36.37,13.72,78.77,80.52,43.76,48.92,69.41,42.19,21.32,2.12,50.64,48.9
363,104.25,114.01,100.4,64.62,61.3,11.64,109.68,103.17,70.87,70.06,93.09,46.23,31.8,1.19,84.17,74.63
364,118.22,110.33,116.25,65.07,54.2,22.83,118.01,111.09,83.93,91.41,107.05,45.21,42.29,4.41,88.81,81.89
365,127.19,116.21,134.3,83.77,64.23,23.8,111.42,93.77,81.79,85.36,94.23,46.88,36.71,4.22,84.79,87.39
366,85.45,90.2,94.87,72.89,50.1,16.76,74.63,90.7,61.46,71.93,69.38,53.28,26.54,2.96,63.64,69.22
367,60.97,80.05,70.93,61.85,45.58,12.33,71.9,75.21,41.34,46.66,70.09,40.54,23.63,1.9,53.57,49.23
368,99.69,96.03,86.58,71.31,52.75,21.25,93.95,80.88,50.77,70.61,78.34,43.92,27.49,4.53,60.15,70.34
369,108.12,106.59,118.76,112.48,78.5,14.07,119.09,125.25,63.97,76.25,84.44,70.98,42.27,1.58,53.05,64.41
370,62.26,76.99,50.78,56.53,35.13,15.74,70.25,55.82,42.57,39.06,66.29,36.75,25.24,3.22,48.52,38.88
371,88.72,90.27,65.36,47.23,28.65,15.71,75.88,61.32,35.42,42.93,69.39,31.7,12.86,1.83,43.07,46.76
372,73.36,70.69,68.74,60.98,51.61,12.32,61.63,68.49,31.33,56.57,70.26,33.19,27.58,2.07,51.9,40.96
373,69.26,87.22,68.11,59.94,43.64,10.95,69.97,69.63,32.06,48.14,75.24,36.76,21.99,1.37,39.03,43.14
374,82.41,103.94,87.68,73.27,47.25,28.76,92,63.81,35.32,58.73,81.56,48.23,40.3,7.96,62.12,61.41
375,55.84,61.2,65.55,58.3,40.43,17.92,68.15,50.64,27.93,42.35,59.13,33.27,23.5,4.71,41.23,39.36
376,79.59,82.33,69.82,61.26,28.25,19.11,75.83,66.47,36.59,46.18,76,37.67,19.99,4.43,43.57,36.92
377,91.23,92.9,82.02,62.37,43.3,6.17,89.15,73.27,50.68,52.3,80.83,32.88,27.9,0.41,45.91,53.55
378,51.24,66.43,47.91,45.58,32.12,9.28,57.26,56.5,28.75,30.97,57.76,22.99,15.26,1.3,33.93,26.97
379,79.75,86.98,79.97,49.43,44.73,12.36,80.17,66.31,42.29,54.76,72.21,33.31,24.35,1.76,47.36,48.39
380,66.31,95.54,76.56,74.26,55.72,26.66,83.73,83.17,54.14,52.78,79.75,49.04,24.85,6.46,43.89,49.36
381,92.89,117.8,108.77,85.02,51.75,29.56,115.26,115.14,78.44,72.44,100.63,68.25,29.83,7.42,72.56,72.37
382,80.27,86.05,87.16,69.02,35.89,11.97,99.98,88.44,51.49,50.5,77.4,47.69,15.97,1.43,66.21,67.68
383,123.89,107,125.47,126.15,56.84,14.07,118.75,127.89,80.38,94.16,93.39,83.75,45.48,1.55,80.99,86.69
384,105.19,106.5,126.46,112.61,56.06,12.48,129.57,126.89,68.36,85.95,93.46,66.08,33.96,1.2,80.32,77.54
385,107.59,85,85.51,58.27,39.04,11.64,81.84,73.2,59.64,52.34,67.27,40.02,19.63,1.26,61.51,51.4
386,104.91,116.61,116.52,103.78,61.71,16.12,148.81,104.83,70.25,78.74,107.29,66.07,27.85,1.75,84.24,96.28
387,141.41,132.99,96.02,89.78,71.9,20.14,140.09,116.29,80.21,69.84,98.09,69.57,27.02,2.87,84.24,92.73
388,60.42,66.64,64.3,56.29,29.78,6.86,68.33,73.06,39.08,41.55,49.22,39.04,16.19,0.64,47.32,44.29
389,94.41,101.49,99.62,76.72,63.98,24.42,101,91.01,52.24,71.12,85.94,45.45,37.78,5.88,75.32,66.5
